date;EUR_official;EUR_black_market_vente;EUR_black_market_Achat;USD_black_market_vente;USD_official;GBP_exdz_buy;GBP_exdz_sell;GBP_official;GBP_official_sell;CAD_exdz_buy;CAD_exdz_sell;CAD_official_buy;CAD_official_sell;CHF_exdz_buy;CHF_exdz_sell;CHF_official_buy;CHF_official_sell;TRY_exdz_buy;TRY_exdz_sell;TRY_official_buy;TRY_official_sell;CNY_exdz_buy;CNY_exdz_sell;CNY_official_buy;CNY_official_sell;AED_exdz_buy;AED_exdz_sell;AED_official_buy;AED_official_sell;MAD_exdz_buy;MAD_exdz_sell;MAD_official_buy;MAD_official_sell;TND_exdz_buy;TND_exdz_sell;TND_official_buy;TND_official_sell;SAR_exdz_buy;SAR_exdz_sell;SAR_official_buy;SAR_official_sell;JPY_exdz_buy;JPY_exdz_sell;JPY_official_buy;JPY_official_sell;AUD_exdz_buy;AUD_exdz_sell;AUD_official_buy;AUD_official_sell;QAR_exdz_buy;QAR_exdz_sell;QAR_official_buy;QAR_official_sell;EGP_black_market_vente;EGP_black_market_Achat;EGP_official_sell
01/01/2016;;174.5;;155.0;108.121;220.5;220.5;159.4677;162.6571;117.7;117.7;77.9756;79.5351;157.6034;160.7555;107.9591;110.1183;54.1159;55.1982;37.0696;37.811;24.3068;24.7929;16.6503;16.9833;42.9718;43.8313;29.4359;30.0246;15.9555;16.2746;10.9296;11.1482;77.2702;78.8156;52.9304;53.989;42.0878;42.9296;28.8303;29.4069;1.3124;1.3387;0.899;0.917;115.1998;117.5038;78.9124;80.4906;43.3655;44.2329;29.7056;30.2997;20.1582;20.5614;14.0847
02/01/2016;;174.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/01/2016;;174.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/01/2016;117.1449;174.5;;;107.0892;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/01/2016;116.3162;174.5;;;107.5707;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/01/2016;115.7822;174.5;;;107.9152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/01/2016;116.1781;174.5;;;107.7169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/01/2016;116.9011;174.5;;;107.2733;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/01/2016;;174.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/01/2016;;174.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
