date,currency,type,rate
2016-01-01,EUR,Black Market,174.5
2016-01-02,EUR,Black Market,174.5
2016-01-03,EUR,Black Market,174.5
2016-01-04,EUR,Black Market,174.5
2016-01-04,EUR,Official,117.1449
2016-01-05,EUR,Black Market,174.5
2016-01-05,EUR,Official,116.3162
2016-01-06,EUR,Black Market,174.5
2016-01-06,EUR,Official,115.7822
2016-01-07,EUR,Black Market,174.5
2016-01-07,EUR,Official,116.1781
2016-01-08,EUR,Black Market,174.5
2016-01-08,EUR,Official,116.9011
2016-01-09,EUR,Black Market,174.5
2016-01-10,EUR,Black Market,174.5
2016-01-11,EUR,Black Market,174.5
2016-01-11,EUR,Official,116.8339
2016-01-12,EUR,Black Market,174.5
2016-01-12,EUR,Official,116.9215
2016-01-13,EUR,Black Market,174.5
2016-01-13,EUR,Official,116.3947
2016-01-14,EUR,Black Market,174.5
2016-01-14,EUR,Official,116.7248
2016-01-15,EUR,Black Market,174.5
2016-01-15,EUR,Official,116.9293
2016-01-16,EUR,Black Market,174.5
2016-01-17,EUR,Black Market,174.5
2016-01-18,EUR,Black Market,174.5
2016-01-18,EUR,Official,116.8898
2016-01-19,EUR,Black Market,174.5
2016-01-19,EUR,Official,116.8069
2016-01-20,EUR,Black Market,174.5
2016-01-20,EUR,Official,117.3164
2016-01-21,EUR,Black Market,174.5
2016-01-21,EUR,Official,117.0158
2016-01-22,EUR,Black Market,174.5
2016-01-22,EUR,Official,116.5305
2016-01-23,EUR,Black Market,174.5
2016-01-24,EUR,Black Market,174.5
2016-01-25,EUR,Black Market,174.5
2016-01-25,EUR,Official,116.4313
2016-01-26,EUR,Black Market,174.5
2016-01-26,EUR,Official,116.7857
2016-01-27,EUR,Black Market,174.5
2016-01-27,EUR,Official,116.7432
2016-01-28,EUR,Black Market,175.0
2016-01-28,EUR,Official,116.8207
2016-01-29,EUR,Black Market,175.5
2016-01-29,EUR,Official,116.9201
2016-01-30,EUR,Black Market,175.5
2016-01-31,EUR,Black Market,176.0
2016-02-01,EUR,Black Market,176.5
2016-02-01,EUR,Official,116.6366
2016-02-02,EUR,Black Market,176.5
2016-02-02,EUR,Official,117.0079
2016-02-03,EUR,Black Market,176.5
2016-02-03,EUR,Official,117.0521
2016-02-04,EUR,Black Market,176.5
2016-02-04,EUR,Official,118.2465
2016-02-05,EUR,Black Market,176.5
2016-02-05,EUR,Official,118.77
2016-02-06,EUR,Black Market,176.5
2016-02-07,EUR,Black Market,176.5
2016-02-08,EUR,Black Market,176.5
2016-02-08,EUR,Official,118.4233
2016-02-09,EUR,Black Market,176.5
2016-02-09,EUR,Official,118.6634
2016-02-10,EUR,Black Market,176.5
2016-02-10,EUR,Official,119.2774
2016-02-11,EUR,Black Market,176.5
2016-02-11,EUR,Official,119.3089
2016-02-12,EUR,Black Market,176.5
2016-02-12,EUR,Official,119.1612
2016-02-13,EUR,Black Market,176.5
2016-02-14,EUR,Black Market,176.5
2016-02-15,EUR,Black Market,176.5
2016-02-15,EUR,Official,118.7806
2016-02-16,EUR,Black Market,176.5
2016-02-16,EUR,Official,118.4454
2016-02-17,EUR,Black Market,176.5
2016-02-17,EUR,Official,118.5463
2016-02-18,EUR,Black Market,176.5
2016-02-18,EUR,Official,118.3223
2016-02-19,EUR,Black Market,176.5
2016-02-19,EUR,Official,118.1777
2016-02-20,EUR,Black Market,176.5
2016-02-21,EUR,Black Market,176.5
2016-02-22,EUR,Black Market,176.5
2016-02-22,EUR,Official,118.065
2016-02-23,EUR,Black Market,176.5
2016-02-23,EUR,Official,117.6714
2016-02-24,EUR,Black Market,176.5
2016-02-24,EUR,Official,117.4432
2016-02-25,EUR,Black Market,176.5
2016-02-25,EUR,Official,118.2359
2016-02-26,EUR,Black Market,176.5
2016-02-26,EUR,Official,118.6472
2016-02-27,EUR,Black Market,176.5
2016-02-28,EUR,Black Market,176.5
2016-02-29,EUR,Black Market,177.0
2016-02-29,EUR,Official,118.5216
2016-03-01,EUR,Black Market,177.0
2016-03-01,EUR,Official,118.3366
2016-03-02,EUR,Black Market,177.0
2016-03-02,EUR,Official,118.3122
2016-03-03,EUR,Black Market,177.0
2016-03-03,EUR,Official,118.4234
2016-03-04,EUR,Black Market,177.0
2016-03-04,EUR,Official,119.3202
2016-03-05,EUR,Black Market,177.0
2016-03-06,EUR,Black Market,177.0
2016-03-07,EUR,Black Market,177.0
2016-03-07,EUR,Official,119.4213
2016-03-08,EUR,Black Market,177.0
2016-03-08,EUR,Official,119.8398
2016-03-09,EUR,Black Market,177.0
2016-03-09,EUR,Official,119.6347
2016-03-10,EUR,Black Market,177.0
2016-03-10,EUR,Official,119.558
