date,currency,buy,sell,official_buy,official_sell
2016-01-01,USD,155.0,155.0,108.121,110.2834
2016-01-15,USD,155.0,155.0,108.121,110.2834
2016-01-27,USD,155.0,155.0,108.121,110.2834
2016-02-01,USD,158.4,158.4,108.121,110.2834
2016-02-15,USD,158.4,158.4,106.07,108.1914
2016-02-27,USD,158.4,158.4,107.905,110.0631
2016-03-01,USD,160.0,160.0,108.8209,110.9973
2016-03-15,USD,160.0,160.0,110.1502,112.3532
2016-03-27,USD,160.0,160.0,109.9703,112.1697
2016-04-01,USD,157.3,157.3,108.2001,110.3641
2016-04-15,USD,157.3,157.3,108.8761,111.0536
2016-04-27,USD,157.3,157.3,109.2729,111.4584
2016-05-01,USD,160.0,160.0,108.9476,111.1266
2016-05-15,USD,160.0,160.0,109.606,111.7981
2016-05-27,USD,160.0,160.0,109.606,111.7981
2016-06-01,USD,161.4,161.4,109.606,111.7981
2016-06-15,USD,161.4,161.4,109.606,111.7981
2016-06-27,USD,161.4,161.4,109.606,111.7981
2016-07-01,USD,163.0,163.0,110.2867,112.4924
2016-07-15,USD,163.0,163.0,110.5362,112.7469
2016-07-27,USD,163.0,163.0,110.675,112.8885
2016-08-01,USD,161.9,161.9,109.8255,112.022
2016-08-15,USD,161.9,161.9,109.465,111.6543
2016-08-27,USD,161.9,161.9,108.6039,110.776
2016-09-01,USD,161.7,161.7,108.6039,110.776
2016-09-15,USD,161.7,161.7,108.6039,110.776
2016-09-27,USD,161.7,161.7,108.6039,110.776
2016-10-01,USD,163.9,163.9,108.6039,110.776
2016-10-15,USD,163.9,163.9,108.6039,110.776
2016-10-27,USD,163.9,163.9,109.9387,112.1375
2016-11-01,USD,167.8,167.8,109.5585,111.7497
2016-11-15,USD,167.8,167.8,110.5435,112.7544
2016-11-27,USD,167.8,167.8,110.5435,112.7544
2016-12-01,USD,176.0,176.0,110.5435,112.7544
2016-12-15,USD,176.0,176.0,110.5435,112.7544
2016-12-27,USD,176.0,176.0,110.5435,112.7544
2017-01-01,USD,176.0,176.0,110.5435,112.7544
2017-01-15,USD,176.0,176.0,109.942,112.1408
2017-01-27,USD,176.0,176.0,109.5237,111.7142
2017-02-01,USD,174.2,174.2,109.5237,111.7142
2017-02-15,USD,174.2,174.2,109.5237,111.7142
2017-02-27,USD,174.2,174.2,109.5237,111.7142
2017-03-01,USD,174.5,174.5,109.5237,111.7142
2017-03-15,USD,174.5,174.5,109.5237,111.7142
2017-03-27,USD,174.5,174.5,109.5237,111.7142
2017-04-01,USD,174.7,174.7,109.5237,111.7142
2017-04-15,USD,174.7,174.7,109.5237,111.7142
2017-04-27,USD,174.7,174.7,109.2595,111.4447
2017-05-01,USD,171.8,171.8,109.118,111.3004
2017-05-15,USD,171.8,171.8,109.118,111.3004
2017-05-27,USD,171.8,171.8,109.118,111.3004
2017-06-01,USD,169.9,169.9,109.118,111.3004
2017-06-15,USD,169.9,169.9,109.118,111.3004
2017-06-27,USD,169.9,169.9,109.118,111.3004
